Features,Importances
jobType_JANITOR,0.21821626611049072
yearsExperience,0.18674393884627855
milesFromMetropolis,0.12982581082349007
major_NONE,0.08568446332745533
jobType_JUNIOR,0.07474639549668395
jobType_CEO,0.048558086031186214
jobType_SENIOR,0.04018338525259845
industry_FINANCE,0.028895711736258243
industry_EDUCATION,0.028741892753568043
industry_OIL,0.025168103219996445
jobType_CFO,0.023449995536898034
jobType_CTO,0.020708608800134393
industry_SERVICE,0.01578670427228337
degree_DOCTORAL,0.014043761701497067
industry_WEB,0.009936377756029208
jobType_MANAGER,0.009585008941962021
degree_NONE,0.006426787417064862
major_ENGINEERING,0.0059115476068096594
industry_AUTO,0.0053937457689498085
degree_MASTERS,0.004370773228499867
major_BUSINESS,0.004318341087343162
jobType_VICE_PRESIDENT,0.0043152149036198946
industry_HEALTH,0.0024862212553438084
major_LITERATURE,0.0022927946561000097
major_MATH,0.0012313226290673553
degree_HIGH_SCHOOL,0.0008277804974486485
major_BIOLOGY,0.0007361228258757132
major_CHEMISTRY,0.0007150023271111852
major_PHYSICS,0.00032406248177499074
degree_BACHELORS,0.0002814124359584457
major_COMPSCI,9.436027222257662e-05
